STATE/UT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,KIDNAPPING & ABDUCTION,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
CHHATTISGARH,2003,776,513,51,898,177,140,14,331,3621,4170,703,76,412,24,151,3653,79,1481,105,601,0,1158,19315,38449
GOA,2003,34,25,6,31,14,5,0,21,257,464,47,60,106,3,18,198,2,19,7,24,0,164,739,2244
GUJARAT,2003,1114,478,29,236,1044,338,14,1267,5844,19304,1824,1873,1975,275,516,12611,54,722,92,3684,0,3536,46879,103709
HARYANA,2003,702,446,76,353,388,63,190,281,2981,5591,639,586,900,30,122,4153,222,344,1302,1618,0,971,16654,38612
HIMACHAL PRADESH,2003,125,74,5,126,113,8,0,19,707,627,610,63,130,3,121,1385,6,250,18,221,0,463,6937,12011
JAMMU & KASHMIR,2003,929,1216,29,211,712,23,0,154,1526,1949,1167,116,408,21,328,310,10,875,376,71,0,378,10424,21233
JHARKHAND,2003,1482,957,109,712,487,702,37,864,1468,4155,2481,265,479,5,147,3062,262,424,2,559,0,642,12902,32203
KARNATAKA,2003,1506,1241,58,321,531,220,65,861,6055,14180,5784,495,2752,126,415,21913,194,1585,84,1704,0,172,52143,112405
KERALA,2003,435,448,343,394,189,142,19,634,4409,4891,6798,323,3061,129,413,17696,33,1947,68,2930,0,35,53487,98824
MADHYA PRADESH,2003,2227,2413,203,2738,887,153,141,1578,12884,20422,2729,549,1222,38,868,29358,648,6848,705,2938,0,3778,97751,191078
MAHARASHTRA,2003,2772,1412,113,1268,926,514,249,2096,13892,37098,5714,1561,5005,261,1188,29205,368,2661,682,5452,0,9378,42491,164306
MANIPUR,2003,150,199,6,18,120,3,0,6,68,252,73,16,76,7,47,324,0,44,0,4,0,4,1120,2537
MEGHALAYA,2003,175,60,17,40,49,83,1,133,160,360,5,12,34,4,16,106,0,13,1,4,0,41,355,1669
MIZORAM,2003,46,36,3,54,8,5,0,21,487,1303,3,19,60,12,23,142,0,88,0,3,0,11,1132,3456
NAGALAND,2003,91,34,8,14,38,19,0,92,95,221,8,3,11,7,5,48,0,4,2,0,1,41,234,976
ODISHA,2003,1044,1214,188,725,477,178,30,875,2961,5359,1408,254,937,11,337,4759,279,1669,188,1289,0,2497,20602,47281
PUNJAB,2003,731,644,89,380,464,30,117,108,2094,3198,0,343,3123,56,71,4124,110,346,199,987,0,2226,9316,28756
RAJASTHAN,2003,1262,1977,61,1050,2238,36,41,655,6072,16456,4052,902,7225,58,784,26173,389,2715,33,5733,1,5074,62592,145579
SIKKIM,2003,14,7,3,10,0,2,0,3,48,65,10,7,12,3,2,56,0,25,0,1,0,18,157,443
TAMIL NADU,2003,1591,1843,28,557,879,95,43,514,4849,18213,3706,307,1904,63,791,30228,220,2022,881,1555,1,9112,77784,157186
TRIPURA,2003,254,87,0,114,146,36,0,69,167,276,274,3,25,3,83,534,20,127,0,247,0,109,940,3514
UTTAR PRADESH,2003,5284,3793,1525,911,2208,317,196,1988,4016,15751,2251,1746,2911,226,297,7760,1322,1098,4970,2626,0,4428,29449,95073
UTTARAKHAND,2003,268,236,31,107,171,26,3,160,557,1368,392,138,379,8,33,687,93,136,98,317,0,362,2353,7923
WEST BENGAL,2003,1425,400,484,1002,902,217,883,598,342,12613,2596,378,1534,153,87,4172,329,1186,71,4948,1,2300,24553,61174
A & N ISLANDS,2003,21,4,1,2,2,2,0,7,56,60,19,3,13,0,8,110,0,9,2,7,0,0,318,644
CHANDIGARH,2003,21,15,2,18,32,3,1,12,204,1238,46,32,209,2,4,71,1,11,4,93,0,8,779,2806
D & N HAVELI,2003,11,5,0,1,7,4,0,6,41,61,17,8,13,2,4,22,0,4,0,2,0,1,129,338
DAMAN & DIU,2003,6,3,0,5,1,4,0,1,41,46,31,8,8,6,1,14,1,3,0,0,0,6,84,269
LAKSHADWEEP,2003,0,0,0,2,0,0,0,0,6,8,4,0,0,0,2,1,0,1,0,1,0,0,6,31
PUDUCHERRY,2003,29,32,0,2,18,2,0,11,126,567,159,12,32,1,18,1053,1,56,27,4,0,182,2185,4517
ANDHRA PRADESH,2004,2579,1908,163,1016,1526,199,2,596,8457,23578,2540,898,7928,175,915,43335,512,3817,2310,8388,2,11452,36460,158756
ARUNACHAL PRADESH,2004,67,45,1,42,65,30,2,45,215,388,65,26,34,1,19,429,0,61,0,4,0,0,717,2256
ASSAM,2004,1214,410,63,1171,1906,360,31,505,2544,5866,3615,586,865,57,379,5911,74,883,11,1945,0,2239,10040,40675
BIHAR,2004,3948,2995,280,1390,3413,1319,145,2986,3175,11113,9793,1701,2764,57,707,11231,1029,704,13,2679,35,2405,44178,108060
CHHATTISGARH,2004,927,619,25,969,214,106,8,363,3720,5014,790,101,424,42,242,3899,71,1661,131,741,0,1717,20143,41927
GOA,2004,40,6,5,37,13,5,0,18,261,503,33,49,61,0,7,170,2,23,15,17,0,216,646,2127
GUJARAT,2004,1113,469,27,339,1133,360,15,1136,5828,18551,1599,1612,1726,122,388,12262,58,757,164,3955,0,3958,49897,105469
HARYANA,2004,733,441,65,386,423,52,145,244,2786,6558,699,534,1089,32,95,4194,251,403,850,2026,0,981,16109,39096
HIMACHAL PRADESH,2004,110,77,12,153,123,1,0,25,766,643,562,97,174,6,112,1421,8,284,16,252,0,469,7015,12326
JAMMU & KASHMIR,2004,816,1112,29,218,735,28,0,129,1420,1939,1116,105,414,32,320,334,9,990,264,82,0,422,10677,21191
JHARKHAND,2004,1488,1143,115,797,468,580,55,780,1419,4374,2281,333,441,6,167,2294,275,411,3,588,36,416,12969,31439
KARNATAKA,2004,1519,1387,57,291,592,177,109,1024,6093,16093,6237,423,2759,65,248,21232,259,1435,57,1588,0,277,52518,114440
KERALA,2004,417,391,473,480,232,129,15,639,4580,5240,6461,336,3755,99,374,20610,31,2260,133,3222,0,42,54106,104025
MADHYA PRADESH,2004,2379,2563,188,2875,832,147,134,1526,12308,22586,2479,548,1287,36,893,33285,751,6690,804,3436,0,4209,96911,196867
MAHARASHTRA,2004,2696,1463,115,1388,1045,629,315,2229,14659,43952,5980,1528,5167,218,1149,30122,314,2831,862,5646,0,9574,44420,176302
MANIPUR,2004,159,227,3,31,128,2,2,3,66,244,115,25,142,4,85,233,0,30,0,2,0,35,999,2535
MEGHALAYA,2004,124,42,7,54,54,91,2,81,142,418,2,25,44,2,15,123,2,34,0,5,0,51,434,1752
MIZORAM,2004,35,21,2,20,15,10,0,6,250,610,2,30,20,6,22,80,0,66,0,0,0,0,320,1515
NAGALAND,2004,70,33,5,18,23,14,0,117,70,255,6,11,28,0,5,52,0,3,1,0,0,34,239,984
ODISHA,2004,1066,1197,25,770,526,238,0,952,2992,5967,1433,271,805,14,343,4938,319,1811,170,1192,0,2652,21058,48739
PUNJAB,2004,775,716,148,390,463,17,79,86,1766,2587,16,313,2729,60,52,4402,113,261,38,801,0,2181,7637,25630
RAJASTHAN,2004,1279,2030,59,1038,2384,58,46,673,5911,18842,3101,885,8333,65,835,25947,379,2825,41,6781,1,5579,67767,154859
SIKKIM,2004,16,8,3,3,5,0,0,5,64,73,76,4,22,1,7,78,0,40,0,1,0,29,196,631
TAMIL NADU,2004,1479,1772,26,618,870,72,54,464,4147,17530,3433,268,2121,40,662,30855,225,1861,1081,1437,0,9152,88439,166606
