STATE/UT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,KIDNAPPING & ABDUCTION,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
GUJARAT,2012,1126,557,43,473,1720,287,19,1366,4695,15952,1758,1240,1361,216,282,10234,21,745,93,6658,0,5573,75702,130121
HARYANA,2012,991,910,68,668,1349,204,176,711,5129,17590,1424,740,1798,20,191,3277,258,525,434,3137,0,1484,21396,62480
HIMACHAL PRADESH,2012,113,53,9,183,172,1,0,10,928,769,494,137,373,1,131,1173,2,250,68,251,0,562,6877,12557
JAMMU & KASHMIR,2012,124,511,16,303,1093,6,0,81,1395,2022,1400,163,612,17,190,322,8,1322,347,301,0,371,14004,24608
JHARKHAND,2012,1694,842,92,812,1056,284,33,494,1216,6680,2331,639,1566,14,136,4785,302,284,10,1261,3,1594,14818,40946
KARNATAKA,2012,1860,1923,71,621,1451,211,536,2207,5792,18418,7502,401,5822,84,416,20350,218,2978,100,3684,32,876,58468,134021
KERALA,2012,374,497,107,1019,281,72,289,725,2710,4078,10938,301,4681,68,568,21170,32,3735,498,5216,0,48,101582,158989
MADHYA PRADESH,2012,2373,2332,114,3425,1302,107,127,1940,10019,23182,1951,576,2021,31,814,35549,743,6655,774,3988,6,7721,114585,220335
MAHARASHTRA,2012,2712,2168,171,1839,1583,793,322,6949,15648,47476,8860,1900,9398,291,1246,28392,329,3935,1294,7415,0,13311,46668,202700
MANIPUR,2012,83,409,4,63,223,8,171,3,53,903,72,67,136,2,74,285,0,49,1,43,0,2,1086,3737
MEGHALAYA,2012,137,63,8,164,92,52,1,46,145,543,0,44,108,13,61,157,1,43,0,16,0,102,761,2557
MIZORAM,2012,30,21,7,103,8,2,0,4,347,605,1,12,42,6,12,103,0,85,0,8,0,34,336,1766
NAGALAND,2012,75,42,6,21,27,1,0,54,65,381,3,22,39,4,7,30,0,16,0,0,0,31,266,1090
ODISHA,2012,1548,1879,54,1458,1542,402,99,1613,3430,9630,2205,317,1607,19,469,8223,525,4187,304,2638,0,3605,22203,67957
PUNJAB,2012,855,1045,104,680,919,48,184,213,2828,5272,1,289,3451,49,74,4186,118,340,31,1293,0,3405,10405,35790
RAJASTHAN,2012,1461,1538,98,2049,3243,31,74,807,4610,23314,573,682,19646,49,475,17614,478,2352,18,13312,0,8284,70240,170948
SIKKIM,2012,7,7,0,34,10,0,0,6,65,117,22,3,31,1,20,91,1,19,0,4,0,32,58,528
TAMIL NADU,2012,1949,2954,44,737,1945,97,19,1898,4457,11996,3136,262,4151,377,726,22100,110,1494,382,1965,0,15499,124176,200474
TRIPURA,2012,124,79,2,229,139,7,0,60,239,565,128,47,105,9,59,1504,37,314,7,858,0,10,1742,6264
UTTAR PRADESH,2012,4966,4811,1410,1963,8878,322,68,3159,6187,37376,5676,3638,10713,205,327,12290,2244,3247,8,7661,0,14406,68538,198093
UTTARAKHAND,2012,217,161,44,148,297,29,3,144,391,1913,369,137,529,22,17,1022,71,139,73,368,0,670,2118,8882
WEST BENGAL,2012,2252,2854,522,2046,5117,279,875,816,464,22991,6611,1391,5300,352,396,15923,593,3345,556,19865,12,4385,64482,161427
A & N ISLANDS,2012,15,3,0,12,8,5,0,2,71,71,8,5,31,1,4,62,2,17,4,5,0,6,351,683
CHANDIGARH,2012,21,44,5,27,87,3,9,63,235,1549,49,34,234,2,9,42,5,45,25,73,0,3,1042,3606
D & N HAVELI,2012,7,2,0,3,13,2,0,2,22,68,11,10,4,0,12,25,0,2,0,0,0,23,112,318
DAMAN & DIU,2012,3,5,0,5,3,1,0,3,26,55,9,6,8,0,11,17,0,0,0,3,0,38,46,239
LAKSHADWEEP,2012,0,0,0,0,0,0,0,0,3,7,10,0,0,0,3,3,0,1,0,1,0,0,32,60
PUDUCHERRY,2012,29,27,12,13,19,5,15,16,77,658,126,9,90,6,21,818,0,9,2,6,0,263,2060,4281
