MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,KIDNAPPING & ABDUCTION,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,
0.452093073,0.536716513,0.086045836,0.221250888,0.255340017,0.056751397,0.096505794,0.148532697,0.289174543,0.165283958,0.629597754,0.091857119,0.260114878,0.448301985,0.088266549,1.562430421,0.487385982,0.332931139,0.023546327,0.198494091,0,0.011234436,1.211012729,Safe
0.005581449,0.235099057,0.135595086,0.445837457,0.087817486,0.05895112,0.036611462,0.09524716,0.202316944,0.00054266,0.802210379,0.080535798,0.281226776,0.85925111,0.240573588,1.384194883,0.062840112,0.407954979,0.024736941,0.304300647,0,0,1.736168213,Safe
0.384813108,0.626900634,0.087251324,1.292345086,0.262137312,0.031770827,0.209198282,0.185695386,0.378370936,0.149061861,0.191653964,0.039470069,0.082387374,0.039031644,0.174225217,1.21814853,0.809900228,0.847799704,0.131051488,0.173945606,0,0.222348437,1.411067259,Safe
0.524323547,0.337090619,0.074825363,0.626408598,0.286663651,0.107458692,0.560214123,0.250162422,0.453758838,0.453952408,0.402983537,0.216523418,0.264433722,0.577796044,0.228123894,1.269217732,0.434740793,0.359650261,0.207436651,0.438850986,0.00874442,0.643702468,0.164593094,Safe
3.429105075,2.679502157,0.254835562,0.661971498,1.882031208,0.279497832,1.997522591,0.146044145,0.129866662,0.087969327,0.540652246,0.33494778,0.280989731,3,0.909770094,0.510841899,0,0.184056587,0,0.024787479,0,0.034469993,1.252116246,Dangerous
4,1.105993313,0.150393767,1.269674675,1.624693603,2,0.520084424,1.417589134,0.525058385,0.272568583,0.048376422,0.279377413,0.182160549,0.663930053,0.533438758,0.35000086,0,0.323282275,0,0.02925716,0,0,0.462493629,Dangerous
0.404604458,0.265125337,0.282406818,1.907338536,0.044375587,0.046460604,0,0.195917635,1,0.85126366,0.013360199,0.250915645,0.334980871,1.994746215,0.360772953,0.202497504,0,0.505068821,0,0.087901742,2,0.125512254,0,Safe
3.337645853,1.254640126,0.92521417,1.134927066,0.928830654,0.31006366,0,2,0.700282295,0.394290104,0.016290222,0.417064478,0.291967941,0.605105348,0,0.108429234,0,0.10607012,0,0,0,0.188715029,0.412428525,Dangerous
0.721431428,0.979244199,0.144090966,1.394784913,0.557494163,0.148344817,0.137891125,0.392795869,0.332134183,0.171659686,0.313777888,0.135847107,0.154655183,0.080013287,0.301579548,0.612568409,1.522861581,0.773750466,0.311290861,0.334785712,0,0.417386023,1.282154878,Moderate
0.95501517,1.127738216,0.365398266,0.883918095,0.920455501,0.056356943,0.884521777,0.090237761,0.344412621,0.142399728,0,0.334710135,1,0.779660834,0.053262612,1.011129857,1.383648686,0.292187395,0.05366787,0.501138675,0,0.950550762,0.625674678,Moderate
0.159366519,0.491925425,0.051499823,0.556877844,0.872817762,0.013448531,0.075383783,0.109599221,0.223883662,0.143180751,0.742443109,0.149869012,0.453681733,0.214119599,0.227468043,1.274553775,0.585605634,0.404574044,0.011444405,0.439865279,0.009648699,0.333375483,1.028808609,Safe
